sender,receiver,date,location,identifier
SLC,Henry H. Rogers,7 July 1897,London, England,UCCL05253 Salm
SLC,Charles Lancaster,7 July 1897,London, England,UCCL09349 NSyU
SLC,Andrew Carnegie,7 July 1897,London, England,UCCL05252
SLC,Percy Spalding,8 July 1897,London, England,UCCL12988 Me4
SLC,Joseph H. Twichell,8 July 1897,London, England,UCCL05258 CtY
SLC,James B. Pond,8 July 1897,London, England,UCCL08947 NN-BGC
SLC per Olivia L. Clemens,John Y. MacAlister,8 July 1897,London, England,UCCL05256 ViU
SLC,Henry M. Stanley,10 July 1897,London, England,UCCL13296 BeTeKMM 2012
SLC,Henry H. Rogers,12 July 1897,London, England,UCCL05261 Salm
SLC,James B. Pond,15 July 1897,Lucerne, Switzerland,UCCL13486 CU-MARK 2022
SLC,London Postmaster,16 July 1897,London, England,UCCL05263 CtHMTH
SLC,Chatto & Windus,19 July 1897,Weggis, Switzerland,UCCL05517 NN-BGC
SLC,John Y. MacAlister,20 July 1897,Weggis, Switzerland,UCCL05265 ViU
SLC,James B. Pond,20 July 1897,Weggis, Switzerland,UCCL05266 NN-BGC
SLC,Chatto & Windus,22 July 1897,Weggis, Switzerland,UCCL05267 CU-MARK
SLC,Chatto & Windus,22–24 July 1897,Weggis, Switzerland,UCCL08644 CU-MARK , IU-R
SLC,Richard Edgcumbe,23 July 1897,Weggis, Switzerland,UCCL12708 InFw2
SLC,Henry H. Rogers,23 July 1897,Weggis, Switzerland,UCCL05268 IaCr2
SLC,Chatto & Windus,25 July 1897,Weggis, Switzerland,UCCL05271 ViU
SLC,Wayne MacVeagh,27 July 1897,Weggis, Switzerland,UCCL05272 CU-MARK
SLC,Francis E. Bliss,27 July 1897,Weggis, Switzerland,UCCL05518 NN-BGC
SLC,Richard Edgcumbe,29 July 1897,Weggis, Switzerland,UCCL12709 InFw2
SLC,Franklin G. Whitmore,29 July 1897,Weggis, Switzerland,UCCL05273 CtHMTH , CU-MARK
SLC,Andrew Chatto,30 July 1897,Weggis, Switzerland,UCCL05274 NBuU-PO
SLC,Joseph H. Twichell,31 July 1897,Weggis, Switzerland,UCCL05275 CtY-BR
SLC,Chatto & Windus,31 July 1897,Weggis, Switzerland,UCCL05519 NN-BGC
SLC,Chatto & Windus,August 1897,Weggis, Switzerland,UCCL05276 ViU
SLC,Henry H. Rogers,6 August 1897,Weggis, Switzerland,UCCL05277 Salm
SLC,Samuel S. McClure,7 August 1897,Lucerne, Switzerland,UCCL11086 CU-MARK
SLC,Andrew Chatto,9 August 1897,Weggis, Switzerland,UCCL05521 NN-BGC
SLC,Richard Edgcumbe,12 August 1897,Weggis, Switzerland,UCCL12688 CU-MARK
SLC,Henry H. Rogers,13 August 1897,Weggis, Switzerland,UCCL05278 CU-MARK
SLC,Chatto & Windus,21 August 1897,Weggis, Switzerland,UCCL11982 C4
SLC,Wayne MacVeagh,22 August 1897,Weggis, Switzerland,UCCL05280 CU-MARK
SLC,Richard Edgcumbe,22 August 1897,Weggis, Switzerland,UCCL12687 InFw2
SLC,Joseph H. Twichell,22 August 1897,Weggis, Switzerland,UCCL05279
SLC,Henry M. Alden,22 August 1897,Weggis, Switzerland,UCCL13156
SLC,Francis H. Skrine,22 August 1897,Weggis, Switzerland,UCCL05281 ViU
SLC,Century editors,30 August 1897,Weggis, Switzerland,UCCL05282 Axelrod
SLC,Clara A. Nichols,September 1897,Weggis, Switzerland,UCCL08969 ViU
SLC,Chatto & Windus,September 1897,Weggis, Switzerland,UCCL10973 ViU
SLC,R. Farquharson Sharpe,3 September 1897,Weggis, Switzerland,UCCL05286 ViU
SLC,Chatto & Windus,3 September 1897,Weggis, Switzerland,UCCL05287 MoHM
SLC,J. Y. W. MacAlister,7 September 1897,Weggis, Switzerland,UCCL05285 ViU 2015
SLC,Joseph H. Twichell,7–10 September 1897,Weggis, Switzerland,UCCL12841 CU-MARK 2015
SLC,Francis H. Skrine,10 September 1897,Weggis, Switzerland,UCCL05284 ViU 2015
SLC,Henry H. Rogers,13 September 1897,Weggis, Switzerland,UCCL05288 Salm
SLC,Chatto & Windus,15 September 1897,Weggis, Switzerland,UCCL08848 CtHMTH
SLC,Robert Barr,16 September 1897,Weggis, Switzerland,UCCL10600 CL3
SLC,Samuel R. Crockett,17 September 1897,Weggis, Switzerland,UCCL05290 ViU
SLC,James B. Pond,17 September 1897,Weggis, Switzerland,UCCL05289 NN-BGC
SLC,Robert Barr,18 September 1897,Weggis, Switzerland,UCCL10669 Axelrod
SLC,Henry H. Rogers,18 September 1897,Weggis, Switzerland,UCCL05291 Salm
Jean Clemens,Mable,27 September 1897,Vienna, Austria,UCCL11591 CSmH
SLC,Robert Barr,29 September 1897,Vienna, Austria,UCCL05293 CL2
SLC,Chatto & Windus,29 September 1897,Vienna, Austria,UCCL05292 ViU
SLC,Laura Rothmann,30 September 1897,Vienna, Austria,UCCL11063 Axelrod
SLC,Unidentified,October 1897,Vienna, Austria,UCCL13368
SLC,Unidentified,October 1897,Vienna, Austria,UCCL11436 Mn2
SLC,Eduard Potzl,2 October 1897,Vienna, Austria,UCCL12356 CU-MARK
SLC,Andrew Edmund Murphy,2 October 1897,Vienna, Austria,UCCL11956 UkL7
Clara L. Clemens,Chatto & Windus,2 October 1897,Vienna, Austria,UCCL06256 NN-BGC
SLC,Chatto & Windus,3 October 1897,Vienna, Austria,UCCL04278
SLC,Eduard Potzl,4 October 1897,Vienna, Austria,UCCL12357 CU-MARK
SLC,Editor of the Wiener Bilder,5 October 1897,Vienna, Austria,UCCL13178
SLC,Heinrich Obersteiner,5 October 1897,Vienna, Austria,UCCL05294 NN5
SLC,Fraulein Betty Filcek,5 October 1897,Vienna, Austria,UCCL13983 2023
SLC,Eduard Potzl,7 October 1897,Vienna, Austria,UCCL12358 CU-MARK
SLC,John Fletcher Hurst,8 October 1897,Vienna, Austria,UCCL05296 CtHMTH
SLC,Henry H. Rogers,8 October 1897,Vienna, Austria,UCCL05295 MFai
SLC,Adolf D. Gelber,8 October 1897,Vienna, Austria,UCCL11743 2024
SLC,Ferdinand Gross,10 October 1897,Vienna, Austria,UCCL04708 ODa2
SLC,J. Henry Harper,13 October 1897,Vienna, Austria,UCCL11352 CU-MARK 2013
SLC,Unidentified,14 October 1897,Vienna, Austria,UCCL05297 CtHMTH
SLC,Jean Clemens,14 October 1897,Vienna, Austria,UCCL12960
OLC,Eduard Potzl,14 October 1897,Vienna, Austria,UCCL12362 CU-MARK
SLC,Eduard Potzl,15 October 1897,Vienna, Austria,UCCL05298 ViU
SLC,James R. Clemens,21 October 1897,Vienna, Austria,UCCL05299 CtHMTH
SLC,Risa Treulich,23 October 1897,Vienna, Austria,UCCL13259
SLC,Joseph H. Twichell,23 October 1897,Vienna, Austria,UCCL05301
SLC,John Thomas Lee,23 October 1897,Vienna, Austria,UCCL14090 2024
SLC,Chatto & Windus,23 October 1897,Vienna, Austria,UCCL05300 CU-MARK
SLC,Robert Lutz,24 October 1897,Vienna, Austria,UCCL12366 2023
SLC,Thomas S. Frisbie,25 October 1897,Vienna, Austria,UCCL05302 PBL
SLC,Unidentified,27 October 1897,Vienna, Austria,UCCL12918 MoCgS
SLC,Bettina Wirth,28 October 1897,Vienna, Austria,UCCL11819 2025
OLC for SLC,Antonie Schwartz,31 October 1897,Vienna, Austria,UCCL13714 RO-GaBJ 2015
SLC,Unidentified,November 1897,Vienna, Austria,UCCL14033 2023
SLC,Frank M. White,1 November 1897,Vienna, Austria,UCCL05304 CU-MARK
SLC,Bettina Wirth,2 November 1897,Vienna, Austria,UCCL13116 CL4 2025
SLC,Francis H. Skrine,3 November 1897,Vienna, Austria,UCCL05306 ViU
SLC,Francis E. Bliss,3 November 1897,Vienna, Austria,UCCL05305 CLjC
SLC,Chatto & Windus,3 November 1897,Vienna, Austria,UCCL10863
SLC,Frank M. White,4 November 1897,Vienna, Austria,UCCL05308 ViU
SLC,Francis E. Bliss,4 November 1897,Vienna, Austria,UCCL05309 CU-MARK
SLC,Francis E. Bliss,4 November 1897,Vienna, Austria,UCCL05307 CU-MARK , CtY-BR
SLC,Orion Clemens and Mollie Clemens,5 November 1897,Vienna, Austria,UCCL05310 TxU-Hu
SLC per Olivia L. Clemens,William Blackwood,7 November 1897,Vienna, Austria,UCCL05311 StEdNL
OLC for SLC,Philipp Kaiser,7 November 1897,Vienna, Austria,UCCL13600 NjP 2015
SLC,Alfred Brumlik,8 November 1897,Vienna, Austria,UCCL13634 2017
SLC,Henry H. Rogers,10–11 November 1897,Vienna, Austria,UCCL05312 Salm
SLC,Chatto & Windus,11 November 1897,Vienna, Austria,UCCL05523 NN-BGC
SLC,Unidentified,15 November 1897,Vienna, Austria,UCCL11358 CStbK
SLC and OLC,Henry H. Rogers,17 November 1897,Vienna, Austria,UCCL05313 Salm
Clara L. Clemens,Eduard Potzl,17 November 1897,Vienna, Austria,UCCL12364 CU-MARK
SLC,Joseph H. Twichell,19 November 1897,Vienna, Austria,UCCL05314 CtY-BR
SLC,Chatto & Windus,19 November 1897,Vienna, Austria,UCCL05002 NN-BGC
SLC,Percy Spalding,20 November 1897,Vienna, Austria,UCCL05315 CtY-BR
SLC,Francis E. Bliss,26 November 1897,Vienna, Austria,UCCL05316 CtY-BR
SLC,Samuel E. Moffett,28 November 1897,Vienna, Austria,UCCL05317 CU-MARK
OLC,Chatto & Windus,30 November 1897,Vienna, Austria,UCCL06269 NN-BGC
OLC,Chatto & Windus,1 December 1897,Vienna, Austria,UCCL06287 NN-BGC
OLC,James R. Clemens,December–May 1899,Unknown place,UCCL10060 CtHMTH
OLC,Chatto & Windus,2 December 1897,Vienna, Austria,UCCL06332 NN-BGC
OLC,Chatto & Windus,9 December 1897,Vienna, Austria,UCCL06336 NN-BGC
SLC,Joseph H. Twichell,10 December 1897,Vienna, Austria,UCCL05319 CtY-BR 2025
SLC,Harold Godwin,10 December 1897,Vienna, Austria,UCCL05318 CU-MARK 2025
SLC,Mary E. (Mollie) Clemens,11 December 1897,Vienna, Austria,UCCL05320 IaCrM 2025
SLC,Franklin G. Whitmore,11 December 1897,Vienna, Austria,UCCL05321 CU-MARK
SLC,Unidentified,12 December 1897,Vienna, Austria,UCCL09350
SLC,Unidentified,15 December 1897,Vienna, Austria,UCCL14126 CU-MARK 2025
SLC,Henry H. Rogers,16 December 1897,Vienna, Austria,UCCL05324 Salm
SLC,Francis E. Bliss,16 December 1897,Vienna, Austria,UCCL05323 OrPR
SLC,Andrew Chatto,18 December 1897,Vienna, Austria,UCCL05524 NN-BGC
OLC,Bryan M. Clemens,18 December 1897,Vienna, Austria,UCCL08849 CtHMTH
SLC,Henry H. Rogers,21 December 1897,Vienna, Austria,UCCL05325 Salm
SLC,Chatto & Windus,23 December 1897,Vienna, Austria,UCCL01260 UkReU
SLC,Katie Leary,25 December 1897,Vienna, Austria,UCCL09352 CHi 2025
SLC,Frank Marshall White,26 December 1897,Vienna, Austria,UCCL05327 ViU 2025
OLC and SLC,Franklin G. Whitmore,26 December 1897,Vienna, Austria,UCCL05328 CU-MARK 2015
SLC,Henry H. Rogers,29 December 1897,Vienna, Austria,UCCL05329 Salm
SLC,Unidentified,Unknown date,Vienna, Austria,UCCL11085 ViU
SLC,Unidentified,Unknown date,Unknown place,UCCL09347
SLC,Robert Barr,1897,Unknown place,UCCL13086
SLC,Daniel Carter Beard,Unknown date,Vienna, Austria,UCCL09958
OLC,James R. Clemens,Unknown date,London, England,UCCL08406 CtHMTH
SLC,Unidentified,1 January 1898,Vienna, Austria,UCCL12403
SLC,Ida Speiser-Wegenstein,1 January 1898,Vienna, Austria,UCCL12188
Olivia L. Clemens for SLC,Frank Marshall White,6 January 1898,Vienna, Austria,UCCL05332 ViU
OLC,Samuel E. Moffett,6 January 1898,Vienna, Austria,UCCL05331 CU-MARK
SLC per Olivia L. Clemens,Walter Bliss,9 January 1898,Vienna, Austria,UCCL05333 MoPeS
OLC,Chatto & Windus,10 January 1898,Vienna, Austria,UCCL01398 UkReU
SLC per Olivia L. Clemens,Samuel E. Moffett,11 January 1898,Vienna, Austria,UCCL05334 CU-MARK
SLC per Olivia L. Clemens,Frank M. White,11 January 1898,Vienna, Austria,UCCL05335 ViU
SLC,Henry L. Nelson,12 January 1898,Vienna, Austria,UCCL12045 CU-MARK 2010
OLC,Chatto & Windus,12 January 1898,Vienna, Austria,UCCL06342 NN-BGC
SLC and OLC,Henry C. Robinson,13 January 1898,Vienna, Austria,UCCL11123 CtY-BR
SLC,Richard Watson Gilder,13 January 1898,Vienna, Austria,UCCL05167 CLU-SC
OLC,Samuel E. Moffett,14 January 1898,Vienna, Austria,UCCL05330 ViU
SLC,James W. Riley,16 January 1898,Vienna, Austria,UCCL10832 InU-Li
OLC,Chatto & Windus,19 January 1898,Vienna, Austria,UCCL06355 NN-BGC
SLC,Henry H. Rogers,20 January 1898,Vienna, Austria,UCCL05336 Salm
SLC,William D. Howells,22 January 1898,Vienna, Austria,UCCL05337 MH-H
SLC,Clara A. Nichols,27 January 1898,Vienna, Austria,UCCL05486 NN-BGC
OLC,Eliza N. Robinson,28 January 1898,Vienna, Austria,UCCL05219 CtY
SLC,J. Henry Harper,29 January 1898,Vienna, Austria,UCCL12487
SLC,T. H.,before 30 January 1898,Vienna, Austria,UCCL11355
SLC,Katie Leary,February 1898,Unknown place,UCCL11499 IU-R
SLC,Frederick Eckstein,February 1898,Vienna, Austria,UCCL11336 CU-MARK
SLC,Eduard Potzl,February 1898,Vienna, Austria,UCCL11617 As3
SLC,Sigmund Schlesinger,1 February 1898,Vienna, Austria,UCCL05338 CtHMTH
SLC,Louisville Courier-Journal,3 February 1898,Vienna, Austria,UCCL11477
SLC,Joseph H. Twichell,3 February 1898,Vienna, Austria,UCCL05339
SLC,Frank M. White,4 February 1898,Vienna, Austria,UCCL05341 ViU
SLC,Henry H. Rogers,5–6 February 1898,Vienna, Austria,UCCL05342 Salm
SLC,American Publishing Company,6 February 1898,Vienna, Austria,UCCL13789 TxAu3 2017
SLC,Arthur E. Gilbert,6 February 1898,Vienna, Austria,UCCL05343 NN
SLC,Henry H. Rogers,7 February 1898,Vienna, Austria,UCCL05344 Salm
SLC,J. Henry Harper,8 February 1898,Vienna, Austria,UCCL05345 IU-R 2024
SLC,Chatto & Windus,8 February 1898,Vienna, Austria,UCCL05346 ViU
SLC,Mr. and Mrs. R. Howard Krause,11 February 1898,Vienna, Austria,UCCL09353 CtHMTH
SLC,Francis E. Bliss,11 February 1898,Vienna, Austria,UCCL05348 CtWep1
SLC,Arthur E. Gilbert,12 February 1898,Vienna, Austria,UCCL05349 NN
SLC,Chatto & Windus,17 February 1898,Vienna, Austria,UCCL05350 CU-MARK
SLC,Bertha von Suttner,17 February 1898,Vienna, Austria,UCCL05351 MoHi
SLC,Laurence Hutton,20 February 1898,Vienna, Austria,UCCL05352 NjP
Clara L. Clemens,James B. Pond,21 February 1898,Vienna, Austria,UCCL05353 CtHMTH
SLC,Walter Besant,22 February 1898,Vienna, Austria,UCCL05487 NN-BGC
SLC,Chatto & Windus,26 February 1898,Vienna, Austria,UCCL05354 ViU
OLC,Eduard Potzl,26 February 1898,Vienna, Austria,UCCL11616 As3
SLC,Francis E. Bliss,27 February 1898,Vienna, Austria,UCCL08850 CtHMTH
OLC,Ellen O’Neil,27 February 1898,Vienna, Austria,UCCL10614 CtHSD
SLC per Olivia L. Clemens,William Grieg,28 February 1898,Vienna, Austria,UCCL05355 CU-MARK
SLC,Unidentified,April 1898,Unknown place,UCCL13514
SLC,Charles F. Mosher,1 March 1898,Vienna, Austria,UCCL12710 InFw2
SLC,Katie Leary,2 March 1898,Vienna, Austria,UCCL10953 WRl2
SLC,Unidentified,4 March 1898,Vienna, Austria,UCCL12994
SLC,Eduard Potzl,6 March 1898,Vienna, Austria,UCCL11640 CU-MARK
SLC,Henry H. Rogers,7 March 1898,Vienna, Austria,UCCL05361 Salm
SLC,John Y. MacAlister,12 March 1898,Vienna, Austria,UCCL05362 ViU
SLC,Louis E. Stein,15 March 1898,Vienna, Austria,UCCL10785
SLC,James B. Pond,15 March 1898,Vienna, Austria,UCCL05488 NN-BGC
SLC,Henry H. Rogers,15 March 1898,Vienna, Austria,UCCL05363 Salm
SLC,Heinrich Hirsch,15 March 1898,Vienna, Austria,UCCL13994 2023
SLC,Amelia S. Levetus,15 March 1898,Vienna, Austria,UCCL05364
OLC,Eduard Potzl,15 March 1898,Vienna, Austria,UCCL12363 CU-MARK
SLC,Henry H. Rogers,17–20 March 1898,Vienna, Austria,UCCL05365 Salm
SLC,Henry H. Rogers,22 March 1898,Vienna, Austria,UCCL05366 Salm
SLC,Henry H. Rogers,23 March 1898,Vienna, Austria,UCCL05367 Salm
SLC,Henry H. Rogers,24 March 1898,Vienna, Austria,UCCL05368 Salm
SLC,Francis E. Bliss,25 March 1898,Vienna, Austria,UCCL05370 TxU-Hu
SLC,Rudolf Lindau,30 March 1898,Vienna, Austria,UCCL05372 ViU
SLC,Francis E. Bliss,30 March 1898,Vienna, Austria,UCCL05371 CU-MARK
Clara L. Clemens,George R. Cole,30 March 1898,Vienna, Austria,UCCL05360 CLU-SC
SLC,Richard Watson Gilder,2 April 1898,Vienna, Austria,UCCL05373 CtY-BR
Clara L. Clemens,George R. Cole,2 April 1898,Vienna, Austria,UCCL05356 CLU-SC
SLC,Richard Watson Gilder,2–3 April 1898,Vienna, Austria,UCCL09031 ViU
Clara L. Clemens,George R. Cole,7 April 1898,Vienna, Austria,UCCL05347 CLU-SC
SLC,Walter Besant,8 April 1898,Vienna, Austria,UCCL03817 Axelrod , CU-MARK
Clara L. Clemens,George R. Cole,8 April 1898,Vienna, Austria,UCCL05359 CLU-SC
SLC,James H. Scott,10 April 1898,Vienna, Austria,UCCL11977 CPac2
SLC,Euphemia A. Suverkrop,11 April 1898,Vienna, Austria,UCCL10336
SLC,Henry H. Rogers,12 April 1898,Vienna, Austria,UCCL05375 Salm
SLC,George Barrow,12 April 1898,Vienna, Austria,UCCL08638 CU-MARK
Clara L. Clemens,George R. Cole,12 April 1898,Vienna, Austria,UCCL05358 CLU-SC
OLC,Chatto & Windus,13 April 1898,Vienna, Austria,UCCL06387 NN-BGC
Clara L. Clemens,George R. Cole,14 April 1898,Vienna, Austria,UCCL05357 CLU-SC
SLC,Arthur E. Gilbert,15 April 1898,Vienna, Austria,UCCL05376 NN
SLC,Dagobert Wlaschim,19 April 1898,Vienna, Austria,UCCL13489 CU-MARK
SLC,Henry H. Rogers,21 April 1898,Vienna, Austria,UCCL05377 Salm
OLC,Ellen O’Neil,21 April 1898,Vienna, Austria,UCCL10615 CtHSD
OLC,Chatto & Windus,21 April 1898,Vienna, Austria,UCCL06428 NN-BGC
OLC,Charles J. Langdon,24 April 1898,Vienna, Austria,UCCL05378 CtHMTH
SLC and OLC,Unidentified,29 April 1898,Vienna, Austria,UCCL09649
SLC,Richard Watson Gilder,29 April 1898,Vienna, Austria,UCCL05381 NNPM
SLC,Henry H. Rogers,29 April 1898,Vienna, Austria,UCCL05379 Salm
SLC,Chatto & Windus,30 April 1898,Vienna, Austria,UCCL12352
SLC,Unidentified,May 1898,Vienna or Kaltenleutgeben, Austria,UCCL11221 ODa2 2023
SLC,Eva H. Nansen,May 1898,Vienna or Kaltenleutgeben, Austria,UCCL12439 2023
SLC,Amelia S. Levetus,May 1898,Vienna or Kaltenleutgeben, Austria,UCCL10360 2023
SLC,Francis E. Bliss,May 1898,Vienna or Kaltenleutgeben, Austria,UCCL05380 CtWep1 2015
SLC,Franklin G. Whitmore,5 May 1898,Kaltenleutgeben, Austria,UCCL05382 CU-MARK 2023
OLC,Harper and Brothers,5 May 1898,Vienna, Austria,UCCL14039 2023
SLC,Emma A. Edwards,6 May 1898,Vienna, Austria,UCCL13350 2023
SLC,Chatto & Windus,6 May 1898,Vienna, Austria,UCCL05384 MoHM
OLC,Chatto & Windus,6 May 1898,Vienna, Austria,UCCL05383 MoHM
SLC,Richard Watson Gilder,7 May 1898,Kaltenleutgeben, Austria,UCCL05386 CLjC
SLC,Chatto & Windus,7 May 1898,Vienna, Austria,UCCL05385 MoHM
SLC,Unidentified,11 May 1898,Vienna, Austria,UCCL13652 As 2015
SLC,Unidentified,11 May 1898,Vienna, Austria,UCCL12615
Clara L. Clemens,George R. Cole,11 May 1898,Vienna, Austria,UCCL10943 CLU-SC
SLC,Laurence Hutton,13 May 1898,Vienna, Austria,UCCL05389 CU-MARK
SLC,Henry H. Rogers,13 May 1898,Vienna, Austria,UCCL05387 Salm
SLC,Chatto & Windus,13 May 1898,Vienna, Austria,UCCL05388 MoHM
SLC,Edward Payson Evans,14 May 1898,Vienna, Austria,UCCL11658 MMe2
SLC,Rudolf Lindau,14 May–14 September 1898,Kaltenleutgeben, Austria,UCCL05480 ViU
SLC,Unidentified,16 May 1898,Vienna, Austria,UCCL13744
SLC,Unidentified,16 May 1898,Vienna, Austria,UCCL12562
SLC,Mollie Clemens,16 May 1898,Vienna, Austria,UCCL11916 IaCrM
SLC and OLC,Cornelius Cole,17 May 1898,Vienna, Austria,UCCL05390 CLU-SC
SLC,Edward K. Root,17 May 1898,Vienna, Austria,UCCL12009 CtHM
SLC,Chatto & Windus,17 May 1898,Vienna, Austria,UCCL11989 NvMoHo2
SLC,Chatto & Windus,17 May 1898,Vienna, Austria,UCCL05489 NN-BGC
OLC,George R. Cole,18 May 1898,Vienna, Austria,UCCL05391 CLU-SC
SLC,Sigmund Schlesinger,20 May 1898,Vienna, Austria,UCCL00228 NRU
SLC,Unidentified,24 May 1898,Kaltenleutgeben, Austria,UCCL05490 NN-BGC
SLC,Unidentified,24 May 1898,Kaltenleutgeben, Austria,UCCL05393 ViU
SLC,Mollie Clemens,24 May 1898,Kaltenleutgeben, Austria,UCCL05392 IU-R
OLC,Ida B. Langdon,24–25 May 1898,Kaltenleutgeben, Austria,UCCL11834 CU-MARK 2015
SLC,Theodore W. Stanton,26 May 1898,Kaltenleutgeben, Austria,UCCL05395 NjR
SLC,Joseph H. Twichell,26 May 1898,Kaltenleutgeben, Austria,UCCL05394 CU-MARK
OLC,Thomas S. Kirkbride,26 May 1898,Kaltenleutgeben, Austria,UCCL12317
SLC,Thomas S. Kirkbride,27 May 1898,Kaltenleutgeben, Austria,UCCL12316
SLC,Sigmund Schlesinger,30 May 1898,Kaltenleutgeben, Austria,UCCL05396 NHC
SLC,Henry H. Rogers,31 May 1898,Kaltenleutgeben, Austria,UCCL05397 Salm
SLC,Vienna Neue Freie Presse,June 1898,Vienna, Austria,UCCL12109
SLC,Henry H. Rogers,10 June 1898,Kaltenleutgeben, Austria,UCCL05398 Salm
OLC,Henry H. Rogers,10 June 1898,Kaltenleutgeben, Austria,UCCL05399 Salm
SLC,Richard Watson Gilder,12 June 1898,Kaltenleutgeben, Austria,UCCL13448 ViU
SLC,Unidentified,12–13 June 1898,Vienna, Austria,UCCL14013 2023
Clara L. Clemens,Andrew Chatto,13 June 1898,Kaltenleutgeben, Austria,UCCL06447 NN-BGC
SLC,Richard Watson Gilder,17 June 1898,Kaltenleutgeben, Austria,UCCL11927 GMar2 , CU-MARK 2025
SLC,Lord Charles John Guthrie,17 June 1898,Kaltenleutgeben, Austria,UCCL13997 2023
SLC,Joseph H. Twichell,17 June 1898,Kaltenleutgeben, Austria,UCCL05400
SLC,James B. Pond,17 June 1898,Kaltenleutgeben, Austria,UCCL05401 CtWep1 2010
SLC,Francis E. Bliss,18 June 1898,Kaltenleutgeben, Austria,UCCL11197 CLjC
SLC,Bettina Wirth,19 June 1898,Kaltenleutgeben, Austria,UCCL08851 CtHMTH 2025
SLC,Robert Collier,20 June 1898,Kaltenleutgeben, Austria,UCCL11675 MoHM
SLC,Bettina Wirth,20 June 1898,Kaltenleutgeben, Austria,UCCL12481 2025
SLC,Unidentified,21 June 1898,Kaltenleutgeben, Austria,UCCL14129 2025
SLC,Francis E. Bliss,21 June 1898,Kaltenleutgeben, Austria,UCCL05402 WU-MU
SLC,Unidentified,26 June 1898,Kaltenleutgeben, Austria,UCCL05403 IMacoW
SLC,Samuel S. McClure,26 June 1898,Kaltenleutgeben, Austria,UCCL12457
SLC,Mildred Holden,28 June 1898,Vienna, Austria,UCCL13871 2019
SLC,Chatto & Windus,28 June 1898,Kaltenleutgeben, Austria,UCCL10087 InFw2
SLC,Brainard Warner,28 June 1898,Kaltenleutgeben, Austria,UCCL05404
SLC,Thomas Bailey Aldrich,29 June 1898,Kaltenleutgeben, Austria,UCCL05406 MH-H
SLC,James R. Clemens,29 June 1898,Kaltenleutgeben, Austria,UCCL05405 CtHMTH
SLC,Chatto & Windus,29 June 1898,Kaltenleutgeben, Austria,UCCL05491 NN-BGC
SLC,Thomas Bailey Aldrich,30 June 1898,Kaltenleutgeben, Austria,UCCL05407 MH-H
SLC,Chatto & Windus,6 July 1898,Kaltenleutgeben, Austria,UCCL05408 MoHM
Jean L. Clemens,Susan L. Crane,6 July 1898,Kaltenleutgeben, Austria,UCCL05409 CU-MARK 2025
SLC,Robert Collier (2nd Baron Monkswell),7 July 1898,Kaltenleutgeben, Austria,UCCL11491 CU-MARK 2014
SLC,Franklin G. Whitmore,9 July 1898,Kaltenleutgeben, Austria,UCCL05410 CtHMTH
SLC,Henry H. Rogers,10 July 1898,Kaltenleutgeben, Austria,UCCL05411 Salm
SLC,Ray Lamprey,20 July 1898,Kaltenleutgeben, Austria,UCCL13229 2018
SLC,James R. Clemens,20 July 1898,Kaltenleutgeben, Austria,UCCL08852 CtHMTH
SLC,Franklin G. Whitmore,20 July 1898,Kaltenleutgeben, Austria,UCCL05413 CtHMTH
SLC,Francis E. Bliss,20 July 1898,Kaltenleutgeben, Austria,UCCL05412 WU-MU 2024
SLC,Allen Simpson,20 July 1898,Kaltenleutgeben, Austria,UCCL13133
SLC,Henry H. Rogers,26 July 1898,Kaltenleutgeben, Austria,UCCL05416 Salm
SLC,Chatto & Windus,26 July 1898,Kaltenleutgeben, Austria,UCCL05415 Me2 2023
SLC,Brander Matthews,26 July 1898,Kaltenleutgeben, Austria,UCCL05414 NNC
SLC,Sigmund Schlesinger,28 July 1898,Kaltenleutgeben, Austria,UCCL00295 NRU
SLC,Poultney Bigelow,29 July 1898,Kaltenleutgeben, Austria,UCCL05417 NMh
SLC,Alvesto S. Hogue,August 1898,Vienna,UCCL08731 CU-MARK
SLC,Unidentified,2 August 1898,Kaltenleutgeben, Austria,UCCL09355 CtHMTH
SLC,Edwin Pond Parker,2 August 1898,Kaltenleutgeben, Austria,UCCL05418 ODa2
SLC,Chatto & Windus,2 August 1898,Kaltenleutgeben, Austria,UCCL13984 2023
SLC,Henry H. Rogers,3 August 1898,Kaltenleutgeben, Austria,UCCL05420 Salm
SLC,Kate S. Littlewood,5 August 1898,Kaltenleutgeben, Austria,UCCL08818 CLjC
SLC,Charles J. Langdon,5 August 1898,Kaltenleutgeben, Austria,UCCL11311 CStbK
SLC,Mr. Speiser,10 August 1898,Kaltenleutgeben, Austria,UCCL13024 CU-MARK
SLC,Unidentified,11 August 1898,Kaltenleutgeben, Austria,UCCL05421 ViU
Clara L. Clemens,Chatto & Windus,15 August 1898,Kaltenleutgeben, Austria,UCCL06479 NN-BGC
SLC,William D. Howells,16 August 1898,Kaltenleutgeben, Austria,UCCL05492 NN-BGC
SLC,Henry H. Rogers,19 August 1898,Ischl, Austria,UCCL05422 Salm
SLC,John Brisben Walker,20 August 1898,Kaltenleutgeben, Austria,UCCL05493 NN-BGC
SLC,Franklin G. Whitmore,20 August 1898,Kaltenleutgeben, Austria,UCCL05423 CU-MARK
SLC,Henry H. Rogers,28 August 1898,Kaltenleutgeben, Austria,UCCL05426 Salm
SLC,Francis E. Bliss,28 August 1898,Kaltenleutgeben, Austria,UCCL05424 CtY , WU-MU
