sender,receiver,date,location,identifier
Samuel L. Clemens,Mary Mason Fairbanks,4 June 1869,Elmira N.Y,UCCL00313 CSmH
Samuel L. Clemens,Jane Lampton Clemens and Family,4 June 1869,Elmira N.Y,UCCL00315 NPV
Samuel L. Clemens,Olivia L. Langdon,8 June 1869,Elmira N.Y,UCCL00316 CU-MARK
Samuel L. Clemens,Whitelaw Reid,15 June 1869,New York N.Y,UCCL00317 DLC
Samuel L. Clemens,Olivia L. Langdon,21 June 1869,Hartford Conn,UCCL00318 CU-MARK
Samuel L. Clemens,Samuel Bowles,22 June 1869,Hartford Conn,UCCL09743
Samuel L. Clemens,Pamela A. Moffett,23 June 1869,New York N.Y,UCCL00320 CU-MARK
Samuel L. Clemens,Olivia Lewis (Mrs. Jervis) Langdon,23 June 1869,New York N.Y,UCCL00319 NPV
Samuel L. Clemens,Olivia L. Langdon,23 June 1869,New York N.Y,UCCL00321 CU-MARK
Samuel L. Clemens,Whitelaw Reid,26 June 1869,Elmira N.Y,UCCL00323 DLC
Samuel L. Clemens,Jane Lampton Clemens and Pamela A. Moffett,26 June 1869,Elmira N.Y,UCCL00322 CU-MARK
